source_id annotation_status protein_id LocusID Genename Function ECNumber Class1 Class2
LLHV30-3 Confirmed 2608 O208_00164 asnH Asparaginesynthetase[glutamine-hydrolyzing] 6.3.5.4 AMINO-ACIDBIOSYNTHESIS Aspartatefamily
LLHV30-3 Confirmed 2313 O208_01104 asnB Asparaginesynthetase[glutamine-hydrolyzing] 6.3.5.4 AMINO-ACIDBIOSYNTHESIS Aspartatefamily
LLHV30-3 Confirmed 1224 O208_00864 leuB 3-isopropylmalatedehydrogenase 1.1.1.85 AMINO-ACIDBIOSYNTHESIS Branchedchainfamily
LLHV30-3 Confirmed 1217 O208_00857 ilvHouN Acetolactatesynthasesmallsubunit 2.2.1.6 AMINO-ACIDBIOSYNTHESIS Branchedchainfamily
LLHV30-3 Confirmed 1218 O208_00858 ilvB Acetolactatesynthaselargesubunit 2.2.1.6 AMINO-ACIDBIOSYNTHESIS Branchedchainfamily
LLHV30-3 Confirmed 1251 O208_00891 als Acetolactatesynthasecatabolic 2.2.1.6 AMINO-ACIDBIOSYNTHESIS Branchedchainfamily
LLHV30-3 Confirmed 1225 O208_00865 leuA 2-isopropylmalatesynthase 2.3.3.13 AMINO-ACIDBIOSYNTHESIS Branchedchainfamily
LLHV30-3 Confirmed 1221 O208_00861 leuD 3-isopropylmalatedehydratasesmallsubunit 4.2.1.33 AMINO-ACIDBIOSYNTHESIS Branchedchainfamily
LLHV30-3 Confirmed 1222 O208_00862 leuC 3-isopropylmalatedehydrataselargesubunit 4.2.1.33 AMINO-ACIDBIOSYNTHESIS Branchedchainfamily
LLHV30-3 Confirmed 1219 O208_00859 ilvD Dihydroxy-aciddehydratase 4.2.1.9 AMINO-ACIDBIOSYNTHESIS Branchedchainfamily
LLHV30-3 Confirmed 1878 O208_02333 proA Gamma-glutamylphosphatereductase 1.2.1.38 AMINO-ACIDBIOSYNTHESIS Glutamatefamily
LLHV30-3 Confirmed 374 O208_02573 argC N-acetyl-gamma-glutamyl-phosphatereductase 1.2.1.38 AMINO-ACIDBIOSYNTHESIS Glutamatefamily
LLHV30-3 Confirmed 375 O208_02574 argC N-acetyl-gamma-glutamyl-phosphatereductase 1.2.1.38 AMINO-ACIDBIOSYNTHESIS Glutamatefamily
LLHV30-3 Confirmed 1135 O208_00774 gltB Glutamatesynthase[NADPH]largechain 1.4.1.13 AMINO-ACIDBIOSYNTHESIS Glutamatefamily
LLHV30-3 Confirmed 1136 O208_00775 gltD Glutamatesynthase[NADPH]smallchain 1.4.1.13 AMINO-ACIDBIOSYNTHESIS Glutamatefamily
LLHV30-3 Confirmed 2048 O208_00357 proC Pyrroline-5-carboxylatereductase 1.5.1.2 AMINO-ACIDBIOSYNTHESIS Glutamatefamily
LLHV30-3 Confirmed 196 O208_01927 proC Pyrroline-5-carboxylatereductase 1.5.1.2 AMINO-ACIDBIOSYNTHESIS Glutamatefamily
LLHV30-3 Confirmed 697 O208_02704 gltA Citratesynthase 2.3.3.1 AMINO-ACIDBIOSYNTHESIS Glutamatefamily
LLHV30-3 Confirmed 372 O208_02571 argD Acetylornithineaminotransferase 2.6.1.11 AMINO-ACIDBIOSYNTHESIS Glutamatefamily
LLHV30-3 Confirmed 1879 O208_02334 proB Glutamate5-kinase 2.7.2.11 AMINO-ACIDBIOSYNTHESIS Glutamatefamily
LLHV30-3 Confirmed 371 O208_02570 argB Acetylglutamatekinase 2.7.2.8 AMINO-ACIDBIOSYNTHESIS Glutamatefamily
LLHV30-3 Confirmed 1531 O208_00580 argE Acetylornithinedeacetylase 3.5.1.16 AMINO-ACIDBIOSYNTHESIS Glutamatefamily
LLHV30-3 Confirmed 1667 O208_00534 argH Argininosuccinatelyase 4.3.2.1 AMINO-ACIDBIOSYNTHESIS Glutamatefamily
LLHV30-3 Confirmed 2582 O208_00137 glnA Glutaminesynthetase 6.3.1.2 AMINO-ACIDBIOSYNTHESIS Glutamatefamily
LLHV30-3 Confirmed 1666 O208_00533 argG Argininosuccinatesynthase 6.3.4.5 AMINO-ACIDBIOSYNTHESIS Glutamatefamily
LLHV30-3 Confirmed 1235 O208_00875 hisD Histidinoldehydrogenase 1.1.1.23 AMINO-ACIDBIOSYNTHESIS Histidinefamily
LLHV30-3 Confirmed 1231 O208_00871 hisH ImidazoleglycerolphosphatesynthasesubunitHisH 2.4.2.- AMINO-ACIDBIOSYNTHESIS Histidinefamily
LLHV30-3 Confirmed 1236 O208_00876 hisG ATPphosphoribosyltransferase 2.4.2.17 AMINO-ACIDBIOSYNTHESIS Histidinefamily
LLHV30-3 Confirmed 1237 O208_00877 hisZ ATPphosphoribosyltransferaseregulatorysubunit 2.4.2.17 AMINO-ACIDBIOSYNTHESIS Histidinefamily
LLHV30-3 Confirmed 1238 O208_00878 hisC Histidinol-phosphateaminotransferase 2.6.1.9 AMINO-ACIDBIOSYNTHESIS Histidinefamily
LLHV30-3 Confirmed 1227 O208_00867 hisK Histidinol-phosphatase 3.1.3.15 AMINO-ACIDBIOSYNTHESIS Histidinefamily
LLHV30-3 Confirmed 1228 O208_00868 hisI Phosphoribosyl-AMPcyclohydrolase/Phosphoribosyl-ATPpyrophosphatase 3.5.4.19 AMINO-ACIDBIOSYNTHESIS Histidinefamily
LLHV30-3 Confirmed 1229 O208_00869 hisF ImidazoleglycerolphosphatesynthasesubunitHisF 4.1.3.- AMINO-ACIDBIOSYNTHESIS Histidinefamily
LLHV30-3 Confirmed 1233 O208_00873 hisB Imidazoleglycerol-phosphatedehydratase 4.2.1.19 AMINO-ACIDBIOSYNTHESIS Histidinefamily
LLHV30-3 Confirmed 1230 O208_00870 hisA Phosphoribosylformimino-5-aminoimidazolecarboxamideribotideisomerase 5.3.1.16 AMINO-ACIDBIOSYNTHESIS Histidinefamily
LLHV30-3 Confirmed 2399 O208_01192 yciA N-acetyldiaminopimelatedeacetylase 3.5.1.47 AMINO-ACIDBIOSYNTHESIS Lysine
LLHV30-3 Confirmed 2400 O208_01193 dapH 2345-tetrahydropyridine-26-dicarboxylateN-acetyltransferase 2.3.1.89 AMINO-ACIDBIOSYNTHESIS lysinefamily
LLHV30-3 Confirmed 81 O208_01645 yugC Phosphoglyceratedehydrogenase 1.1.1.95 AMINO-ACIDBIOSYNTHESIS Serinefamily
LLHV30-3 Confirmed 1707 O208_02163 serA D-3-phosphoglyceratedehydrogenase 1.1.1.95 AMINO-ACIDBIOSYNTHESIS Serinefamily
LLHV30-3 Confirmed 1704 O208_02160 glyA Serinehydroxymethyltransferase 2.1.2.1 AMINO-ACIDBIOSYNTHESIS Serinefamily
LLHV30-3 Confirmed 2082 O208_00391 cysE Serineacetyltransferase 2.3.1.30 AMINO-ACIDBIOSYNTHESIS Serinefamily
LLHV30-3 Confirmed 724 O208_01754 cysM Cysteinesynthase 2.5.1.47 AMINO-ACIDBIOSYNTHESIS Serinefamily
LLHV30-3 Confirmed 391 O208_02590 cysK Cysteinesynthase 2.5.1.47 AMINO-ACIDBIOSYNTHESIS Serinefamily
LLHV30-3 Confirmed 1599 O208_00464 cysD O-acetylhomoserinesulfhydrylase 2.5.1.49 AMINO-ACIDBIOSYNTHESIS Serinefamily
LLHV30-3 Confirmed 1706 O208_02162 serC Phosphoserineaminotransferase 2.6.1.52 AMINO-ACIDBIOSYNTHESIS Serinefamily
LLHV30-3 Confirmed 1708 O208_02164 serB Phosphoserinephosphatase 3.1.3.3 AMINO-ACIDBIOSYNTHESIS Serinefamily
LLHV30-3 Confirmed 523 O208_01579 yvdE GlutamineamidotransferaseclassI - AMINO-ACIDBIOSYNTHESIS 
LLHV30-3 Confirmed 1984 O208_02441 aguA Agmatinedeiminase 3.5.3.12 AMINO-ACIDBIOSYNTHESIS 
LLHV30-3 Confirmed 1131 O208_00770 gadB Glutamatedecarboxylase 4.1.1.15 AMINO-ACIDBIOSYNTHESIS 
LLHV30-3 Confirmed 1215 O208_00855 - Threoninedehydratase 4.3.1.19 AMINO-ACIDBIOSYNTHESIS 
LLHV30-3 Confirmed 2417 O208_01211 luxS S-ribosylhomocysteinelyase 4.4.1.21 AMINO-ACIDBIOSYNTHESIS 
LLHV30-3 Confirmed 2523 O208_01318 gatA Glutamyl-tRNA(Gln)amidotransferasesubunitA 6.3.5.6 AMINO-ACIDBIOSYNTHESIS 
LLHV30-3 Confirmed 1280 O208_00920 folQ Dihydroneopterintriphosphatepyrophosphohydrolase - BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Folicacid
LLHV30-3 Confirmed 1287 O208_00927 dfrAoufolA Dihydrofolatereductase 1.5.1.3 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Folicacid
LLHV30-3 Confirmed 109 O208_01675 yudH Dihydrofolatereductase 1.5.1.3 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Folicacid
LLHV30-3 Confirmed 2208 O208_00651 folD BifunctionalproteinFolD 1.5.1.5 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Folicacid
LLHV30-3 Confirmed 1281 O208_00921 folP Dihydropteroatesynthase 2.5.1.15 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Folicacid
LLHV30-3 Confirmed 1088 O208_00727 pabA Para-aminobenzoatesynthetasecomponentII 2.6.1.85 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Folicacid
LLHV30-3 Confirmed 1089 O208_00728 pabB Para-aminobenzoatesynthetasecomponentI 2.6.1.85 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Folicacid
LLHV30-3 Confirmed 1283 O208_00923 folB Dihydroneopterinaldolase 4.1.2.25 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Folicacid
LLHV30-3 Confirmed 1791 O208_02249 pabC Aminodeoxychorismatelyasefamilyprotein 4.1.3.38 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Folicacid
LLHV30-3 Confirmed 1279 O208_00919 folC Folylpolyglutamatesynthase 6.3.2.17 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Folicacid
LLHV30-3 Confirmed 2517 O208_01312 ybhA 5-formyltetrahydrofolatecyclo-ligase 6.3.3.2 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Folicacid
LLHV30-3 Confirmed 1299 O208_00939 hemN Oxygen-independentcoproporphyrinogenIIIoxidase 1.3.3.3 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Hemeandporphyrin
LLHV30-3 Confirmed 942 O208_00243 - Alpha-ribazole-5-prime-phosphatephosphatase 3.1.3.73 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Hemeandporphyrin
LLHV30-3 Confirmed 192 O208_01923 hemH Ferrochelatase 4.99.1.1 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Hemeandporphyrin
LLHV30-3 Confirmed 36 O208_02026 ypaC Methylaseforubiquinone/menaquinonebiosynthesis - BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Menaquinoneandubiquinone
LLHV30-3 Confirmed 1945 O208_02402 ubiE Demethylmenaquinonemethyltransferase 2.1.1.163 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Menaquinoneandubiquinone
LLHV30-3 Confirmed 445 O208_02644 menD 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acidsynthase 2.2.1.9 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Menaquinoneandubiquinone
LLHV30-3 Confirmed 2204 O208_00647 ispA Farnesyldiphosphatesynthase 2.5.1.10 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Menaquinoneandubiquinone
LLHV30-3 Confirmed 1448 O208_00039 yjhB Prenyltransferase 2.5.1.30 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Menaquinoneandubiquinone
LLHV30-3 Confirmed 1447 O208_01087 yjhB Prenyltransferase 2.5.1.30 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Menaquinoneandubiquinone
LLHV30-3 Confirmed 2502 O208_01297 preA Prenyltransferase 2.5.1.30 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Menaquinoneandubiquinone
LLHV30-3 Confirmed 2501 O208_01296 ybiG 14-dihydroxy-2-naphthoateoctaprenyltransferase 2.5.1.74 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Menaquinoneandubiquinone
LLHV30-3 Confirmed 1939 O208_02396 yrbC 14-dihydroxy-2-naphthoateoctaprenyltransferase 2.5.1.74 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Menaquinoneandubiquinone
LLHV30-3 Confirmed 451 O208_02650 yhdA 14-dihydroxy-2-naphthoyl-CoAthioesterase 3.1.2.- BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Menaquinoneandubiquinone
LLHV30-3 Confirmed 448 O208_02647 menB Naphthoatesynthase 4.1.3.36 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Menaquinoneandubiquinone
LLHV30-3 Confirmed 450 O208_02649 - O-succinylbenzoatesynthase 4.2.1.113 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Menaquinoneandubiquinone
LLHV30-3 Confirmed 446 O208_02645 menX 2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylatesynthase 4.2.99.20 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Menaquinoneandubiquinone
LLHV30-3 Confirmed 444 O208_02643 menF Menaquinone-specificisochorismatesynthase 5.4.4.2 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Menaquinoneandubiquinone
LLHV30-3 Confirmed 449 O208_02648 menE O-succinylbenzoicacid--CoAligase 6.2.1.26 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Menaquinoneandubiquinone
LLHV30-3 Confirmed 1080 O208_00719 panE 2-dehydropantoate2-reductase 1.1.1.169 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Pantothenate
LLHV30-3 Confirmed 702 O208_02709 coaE Dephospho-CoAkinase 2.7.1.24 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Pantothenate
LLHV30-3 Confirmed 314 O208_02056 coaA Pantothenatekinase 2.7.1.33 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Pantothenate
LLHV30-3 Confirmed 2665 O208_02268 coaD Phosphopantetheineadenylyltransferase 2.7.7.3 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Pantothenate
LLHV30-3 Confirmed 1833 O208_02290 - Holo-[acyl-carrierprotein]synthase 2.7.8.7 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Pantothenate
LLHV30-3 Confirmed 1522 O208_00571 dfpA Phosphopantothenoylcysteinedecarboxylase 4.1.1.36 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Pantothenate
LLHV30-3 Confirmed 1521 O208_00570 dfpB Phosphopantothenate-cysteineligase 6.3.2.5 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Pantothenate
LLHV30-3 Confirmed 1335 O208_00975 nadE NH(3)-dependentNAD(+)synthetase 6.3.1.5 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Pyridinenucleotides
LLHV30-3 Confirmed 1392 O208_01032 ribH 67-dimethyl-8-ribityllumazinesynthase 2.5.1.78 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Riboflavinandcobalamin
LLHV30-3 Confirmed 1395 O208_01035 ribB Riboflavinsynthasealphachain 2.5.1.9 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Riboflavinandcobalamin
LLHV30-3 Confirmed 1311 O208_00951 ribC Riboflavinkinase/FMNadenylyltransferase 2.7.1.26 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Riboflavinandcobalamin
LLHV30-3 Confirmed 1282 O208_00922 folEouKE GTPcyclohydrolase1 3.5.4.16 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Riboflavinandcobalamin
LLHV30-3 Confirmed 1393 O208_01033 ribA GTPcyclohydrolaseII 3.5.4.25 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Riboflavinandcobalamin
LLHV30-3 Confirmed 1394 O208_01034 ribA GTPcyclohydrolaseII 3.5.4.25 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Riboflavinandcobalamin
LLHV30-3 Confirmed 1396 O208_01036 ribDouG Diaminohydroxyphosphoribosylaminopyrimidinedeaminase/5-amino-6-(5-phosphoribosylamino)uracilreductase 3.5.4.26 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Riboflavinandcobalamin
LLHV30-3 Confirmed 1331 O208_00971 cobQ Cobyricacidsynthase 6.3.5.10 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Riboflavinandcobalamin
LLHV30-3 Confirmed 1186 O208_00825 apbE Putativethiaminebiosynthesislipoprotein - BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Thiamin
LLHV30-3 Confirmed 1324 O208_00964 apbE Thiaminebiosynthesislipoprotein - BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Thiamin
LLHV30-3 Confirmed 2297 O208_01088 apbE ThiaminebiosynthesislipoproteinapbE - BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Thiamin
LLHV30-3 Confirmed 1159 O208_00798 thiE Thiamine-phosphatesynthase 2.5.1.3 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Thiamin
LLHV30-3 Confirmed 1160 O208_00799 thiE Thiamine-phosphatesynthase 2.5.1.3 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Thiamin
LLHV30-3 Confirmed 1157 O208_00796 thiM Hydroxyethylthiazolekinase 2.7.1.50 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Thiamin
LLHV30-3 Confirmed 1158 O208_00797 thiD Phosphomethylpyrimidinekinase 2.7.4.7 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Thiamin
LLHV30-3 Confirmed 782 O208_01813 thiD Phosphomethylpyrimidinekinase 2.7.4.7 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Thiamin
LLHV30-3 Confirmed 946 O208_00247 tpk Thiaminpyrophosphokinase 2.7.6.2 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Thiamin
LLHV30-3 Confirmed 2076 O208_00385 nifS Cysteinedesulfurase 2.8.1.7 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Thiamin
LLHV30-3 Confirmed 574 O208_01344 sufS Cysteinedesulfurase 2.8.1.7 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Thiamin
LLHV30-3 Confirmed 727 O208_01757 nifZ Cysteinedesulfurase 2.8.1.7 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Thiamin
LLHV30-3 Confirmed 831 O208_01864 trxH Thioredoxin - BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Thioredoxinglutaredoxinandglutathione
LLHV30-3 Confirmed 1919 O208_02375 trxA Thioredoxin - BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Thioredoxinglutaredoxinandglutathione
LLHV30-3 Confirmed 1046 O208_00685 gpo Glutathioneperoxidase 1.11.1.9 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Thioredoxinglutaredoxinandglutathione
LLHV30-3 Confirmed 885 O208_00341 gshR Glutathionereductase 1.8.1.7 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Thioredoxinglutaredoxinandglutathione
LLHV30-3 Confirmed 1454 O208_00045 trxB Thioredoxinreductase 1.8.1.9 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Thioredoxinglutaredoxinandglutathione
LLHV30-3 Confirmed 1922 O208_02378 trxB2 Thioredoxinreductase 1.8.1.9 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS Thioredoxinglutaredoxinandglutathione
LLHV30-3 Confirmed 1429 O208_01069 yjiF LPPG:FO2-phospho-L-lactatetransferaselikeCofD-like 2.7.8.28 BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS 
LLHV30-3 Confirmed 1185 O208_00824 bmpA BasicmembraneproteinA - CELLENVELOPE Membraneslipoproteinsandporins
LLHV30-3 Confirmed 1382 O208_01022 ykdB Membrane-associatedphospholipidphosphatase - CELLENVELOPE Membraneslipoproteinsandporins
LLHV30-3 Confirmed 1403 O208_01043 ykbCouypiL Predictedcell-wall-anchoredproteinSasA(LPXTGmotif) - CELLENVELOPE Membraneslipoproteinsandporins
LLHV30-3 Confirmed 1405 O208_01045 ykbCouypiL Predictedcell-wall-anchoredproteinSasA(LPXTGmotif) - CELLENVELOPE Membraneslipoproteinsandporins
LLHV30-3 Confirmed 2347 O208_01138 plpD Lipoprotein - CELLENVELOPE Membraneslipoproteinsandporins
